id,title,author,publisher,isbn,description,category
B001,三体,刘慈欣,重庆出版社,978-7-5366-8624-5,地球文明与三体文明的星际战争，科幻小说里程碑之作,科幻小说
B002,Python编程：从入门到实践,埃里克·马瑟斯,人民邮电出版社,978-7-115-42866-4,Python入门经典教材，涵盖基础语法到项目实践,编程
B003,活着,余华,作家出版社,978-7-5063-2543-9,讲述农民福贵的人生悲剧，感人至深的现实主义作品,文学
B004,人工智能导论,王晓晔,高等教育出版社,978-7-04-044638-5,AI入门教材，涵盖机器学习、深度学习基础,人工智能
B005,盗墓笔记,南派三叔,中国友谊出版公司,978-7-5057-2271-9,盗墓题材悬疑小说，情节跌宕起伏,悬疑小说
B006,百年孤独,加西亚·马尔克斯,南海出版公司,978-7-5442-4735-0,魔幻现实主义文学代表作,文学
B007,算法导论,Thomas H. Cormen,电子工业出版社,978-7-121-06635-2,算法领域经典教材，系统讲解算法设计,计算机基础
B008,数据结构与算法,严蔚敏,清华大学出版社,978-7-302-13514-5,数据结构与算法基础教材,计算机基础
B009,机器学习,周志华,清华大学出版社,978-7-302-45638-8,机器学习入门经典，理论与实践结合,人工智能
B010,深度学习,伊恩·古德费洛,人民邮电出版社,978-7-115-45423-6,深度学习领域权威教材,人工智能
B011,红楼梦,曹雪芹,人民文学出版社,978-7-02-000873-4,中国古代四大名著之一,文学
B012,西游记,吴承恩,人民文学出版社,978-7-02-000872-7,中国古代四大名著之一,文学
B013,水浒传,施耐庵,人民文学出版社,978-7-02-000874-1,中国古代四大名著之一,文学
B014,三国演义,罗贯中,人民文学出版社,978-7-02-000871-0,中国古代四大名著之一,文学
B015,人类简尤,尤瓦尔·赫拉利,中信出版社,978-7-5086-7200-5,从人类起源到未来简史,历史
B016,未来简史,尤瓦尔·赫拉利,中信出版社,978-7-5086-7201-2,探讨人类未来命运,历史
B017,今日简史,尤瓦尔·赫拉利,中信出版社,978-7-5086-7202-9,21世纪的21个问题,历史
B018,自卑与超越,阿德勒,上海译文出版社,978-7-5327-6790-8,心理学经典著作,心理学
B019,追风筝的人,卡勒德·胡赛尼,上海人民出版社,978-7-208-06443-3,感人至深的友情与救赎故事,文学
B020,解忧杂货店,东野圭吾,南海出版公司,978-7-5442-7085-3,温暖治愈的奇幻小说,悬疑小说
